"","age_of_exp","property_type","room_type","accommodates","price","min_cost_per_night","host_response_time","host_response_rate","review_scores_cleanliness","review_scores_value","total_revenue_clean","log_total_revenue","rev_per_2_guest_clean","log_price","log_review_scores_value","log_age_of_exp","sqrt_age_of_exp","log_review_scores_rating","log_accommodates","sqrt_accommodates","log_host_response_rate"
"11",7.98,"Apartment","Entire home/apt",2,145,"$435","within an hour",1,10,9,16530,9.71299268505301,145,4.98360662170834,2.30258509299405,2.19499988231411,2.82488937836511,4.60517018598809,1.09861228866811,1.4142135623731,0.693147180559945
"12",7.91,"Apartment","Entire home/apt",3,132,"$528","within a day",0.9,10,9,35904,10.4886318405444,132,4.89034912822175,2.30258509299405,2.18717424148272,2.81247222208505,4.60517018598809,1.38629436111989,1.73205080756888,0.641853886172395
"13",7.85,"Apartment","Entire home/apt",2,79,"$79","within a few hours",1,10,10,2054,7.62803112693033,79,4.38202663467388,2.39789527279837,2.18041745901984,2.80178514522438,4.61512051684126,1.09861228866811,1.4142135623731,0.693147180559945
"14",7.79,"Apartment","Entire home/apt",4,180,"$490","within an hour",0.96,10,9,17640,9.77798101729641,245,5.19849703126583,2.30258509299405,2.17361471169709,2.79105714739057,4.60517018598809,1.6094379124341,2,0.672944473242426
"15",7.79,"Loft","Shared room",1,75,"$75","within an hour",0.96,10,10,300,5.70711026474888,75,4.33073334028633,2.39789527279837,2.17361471169709,2.79105714739057,4.61512051684126,0.693147180559945,1,0.672944473242426
"16",7.79,"Apartment","Private room",2,82,"$164","within a few hours",1,10,10,6232,8.73761303680885,82,4.4188406077966,2.39789527279837,2.17361471169709,2.79105714739057,4.59511985013459,1.09861228866811,1.4142135623731,0.693147180559945
"17",7.74,"Apartment","Private room",2,59,"$59","within a few hours",1,10,9,6844,8.83127373772255,59,4.0943445622221,2.30258509299405,2.16791018966744,2.78208554864871,4.56434819146784,1.09861228866811,1.4142135623731,0.693147180559945
"18",7.62,"Apartment","Private room",4,35,"$130","within an hour",1,10,10,27820,10.2335464101945,65,3.58351893845611,2.39789527279837,2.1540850846756,2.76043474836845,4.60517018598809,1.6094379124341,2,0.693147180559945
"19",7.62,"Apartment","Private room",4,43,"$172","within a day",1,9,10,19952,9.90113478695253,86,3.78418963391826,2.39789527279837,2.1540850846756,2.76043474836845,4.56434819146784,1.6094379124341,2,0.693147180559945
"20",7.62,"House","Private room",2,50,"$50","within an hour",1,9,9,2500,7.82444593087762,50,3.93182563272433,2.30258509299405,2.1540850846756,2.76043474836845,4.43081679884331,1.09861228866811,1.4142135623731,0.693147180559945
"21",7.62,"House","Private room",2,50,"$50","within an hour",1,9,9,1400,7.24494154633701,50,3.93182563272433,2.30258509299405,2.1540850846756,2.76043474836845,4.46590811865458,1.09861228866811,1.4142135623731,0.693147180559945
"22",7.59,"Apartment","Entire home/apt",2,69,"$207","within an hour",1,8,9,5382,8.59100111856096,69,4.24849524204936,2.30258509299405,2.15059873599616,2.75499546279118,4.51085950651685,1.09861228866811,1.4142135623731,0.693147180559945
"23",7.56,"Apartment","Entire home/apt",4,80,"$160","within a few hours",0.99,7,8,14720,9.59703032475801,80,4.39444915467244,2.19722457733622,2.14710019015365,2.7495454169735,4.35670882668959,1.6094379124341,2,0.688134638736401
"24",7.56,"Apartment","Entire home/apt",4,80,"$160","within a few hours",0.99,7,7,15680,9.66020506738103,80,4.39444915467244,2.07944154167984,2.14710019015365,2.7495454169735,4.30406509320417,1.6094379124341,2,0.688134638736401
"25",7.49,"Apartment","Entire home/apt",4,110,"$330","within an hour",1,10,8,3300,8.10198073185319,110,4.70953020131233,2.19722457733622,2.13888900032326,2.7367864366808,4.48863636973214,1.6094379124341,2,0.693147180559945
"26",7.46,"Apartment","Private room",2,74,"$296","within a few hours",0.8,10,10,13024,9.47462586662157,74,4.31748811353631,2.39789527279837,2.13534917361813,2.73130005674953,4.58496747867057,1.09861228866811,1.4142135623731,0.587786664902119
"27",7.44,"Apartment","Entire home/apt",8,250,"$750","within a few hours",1,10,9,51000,10.8396005193574,250,5.52545293913178,2.30258509299405,2.13298230860787,2.72763633939717,4.57471097850338,2.19722457733622,2.82842712474619,0.693147180559945
"28",7.44,"Apartment","Entire home/apt",6,200,"$600","within a few hours",1,8,9,2400,7.78364059622125,200,5.30330490805908,2.30258509299405,2.13298230860787,2.72763633939717,4.51085950651685,1.94591014905531,2.44948974278318,0.693147180559945
"29",7.44,"Boat","Entire home/apt",6,180,"$540","within a few hours",1,9,9,37800,10.5400908362842,180,5.19849703126583,2.30258509299405,2.13298230860787,2.72763633939717,4.55387689160054,1.94591014905531,2.44948974278318,0.693147180559945
"30",7.44,"Boat","Entire home/apt",6,200,"$600","within a few hours",1,9,9,86400,11.3667545287992,200,5.30330490805908,2.30258509299405,2.13298230860787,2.72763633939717,4.56434819146784,1.94591014905531,2.44948974278318,0.693147180559945
"31",7.44,"Apartment","Entire home/apt",6,160,"$480","within a few hours",1,9,9,49920,10.818197034894,160,5.08140436498446,2.30258509299405,2.13298230860787,2.72763633939717,4.49980967033027,1.94591014905531,2.44948974278318,0.693147180559945
"32",7.44,"Apartment","Entire home/apt",6,200,"$600","within a few hours",1,9,9,38400,10.5558387799034,200,5.30330490805908,2.30258509299405,2.13298230860787,2.72763633939717,4.52178857704904,1.94591014905531,2.44948974278318,0.693147180559945
"33",7.44,"Apartment","Entire home/apt",6,160,"$480","within a few hours",1,9,8,24000,10.0858507751287,160,5.08140436498446,2.19722457733622,2.13298230860787,2.72763633939717,4.49980967033027,1.94591014905531,2.44948974278318,0.693147180559945
"34",7.44,"Boat","Entire home/apt",4,120,"$360","within a few hours",1,9,10,1440,7.27309259599952,120,4.79579054559674,2.39789527279837,2.13298230860787,2.72763633939717,4.51085950651685,1.6094379124341,2,0.693147180559945
"35",7.44,"Apartment","Entire home/apt",4,120,"$360","within a few hours",1,9,9,32400,10.3859445655017,120,4.79579054559674,2.30258509299405,2.13298230860787,2.72763633939717,4.53259949315326,1.6094379124341,2,0.693147180559945
"36",7.44,"Apartment","Entire home/apt",4,100,"$400","within a few hours",1,10,9,31200,10.348205424566,100,4.61512051684126,2.30258509299405,2.13298230860787,2.72763633939717,4.57471097850338,1.6094379124341,2,0.693147180559945
"37",7.44,"Apartment","Entire home/apt",4,75,"$375","within a few hours",1,9,9,14250,9.56458235867321,75,4.33073334028633,2.30258509299405,2.13298230860787,2.72763633939717,4.47733681447821,1.6094379124341,2,0.693147180559945
"38",7.44,"Apartment","Entire home/apt",4,140,"$420","within a few hours",1,9,9,15960,9.67790352568256,140,4.94875989037817,2.30258509299405,2.13298230860787,2.72763633939717,4.57471097850338,1.6094379124341,2,0.693147180559945
"39",7.44,"Boat","Entire home/apt",4,160,"$480","within a few hours",1,10,9,12480,9.43196276691845,160,5.08140436498446,2.30258509299405,2.13298230860787,2.72763633939717,4.55387689160054,1.6094379124341,2,0.693147180559945
"40",7.44,"Apartment","Entire home/apt",4,120,"$360","within a few hours",1,9,9,17280,9.75736291105399,120,4.79579054559674,2.30258509299405,2.13298230860787,2.72763633939717,4.56434819146784,1.6094379124341,2,0.693147180559945
"41",7.4,"Boat","Entire home/apt",10,206,"$618","within a few hours",1,4,6,1236,7.12044437239249,206,5.33271879326537,1.94591014905531,2.12823170584927,2.72029410174709,3.71357206670431,2.39789527279837,3.16227766016838,0.693147180559945
"42",7.4,"Boat","Entire home/apt",6,140,"$420","within a few hours",1,8,8,8400,9.03610602536485,140,4.94875989037817,2.19722457733622,2.12823170584927,2.72029410174709,4.43081679884331,1.94591014905531,2.44948974278318,0.693147180559945
"43",7.4,"Boat","Entire home/apt",6,200,"$600","within a few hours",1,10,8,2400,7.78364059622125,200,5.30330490805908,2.19722457733622,2.12823170584927,2.72029410174709,4.51085950651685,1.94591014905531,2.44948974278318,0.693147180559945
"44",7.4,"Boat","Entire home/apt",6,227,"$681","within a few hours",1,7,8,24516,10.1071220334621,227,5.42934562895444,2.19722457733622,2.12823170584927,2.72029410174709,4.47733681447821,1.94591014905531,2.44948974278318,0.693147180559945
"45",7.4,"Boat","Entire home/apt",4,140,"$420","within a few hours",1,9,9,31080,10.3443519789962,140,4.94875989037817,2.30258509299405,2.12823170584927,2.72029410174709,4.48863636973214,1.6094379124341,2,0.693147180559945
"46",7.4,"Boat","Entire home/apt",4,200,"$600","within a few hours",1,9,9,30000,10.3089859934221,200,5.30330490805908,2.30258509299405,2.12823170584927,2.72029410174709,4.56434819146784,1.6094379124341,2,0.693147180559945
"47",7.31,"Boat","Entire home/apt",2,135,"$270","within a few hours",1,10,10,5940,8.68963274835574,135,4.91265488573605,2.39789527279837,2.11745960886736,2.70370116691915,4.61512051684126,1.09861228866811,1.4142135623731,0.693147180559945
"48",7.31,"Apartment","Entire home/apt",2,90,"$360","within an hour",1,10,10,6480,8.77663009842772,90,4.51085950651685,2.39789527279837,2.11745960886736,2.70370116691915,4.61512051684126,1.09861228866811,1.4142135623731,0.693147180559945
"49",7.31,"Apartment","Entire home/apt",4,95,"$285","within a few hours",0.8,8,9,16530,9.71299268505301,95,4.56434819146784,2.30258509299405,2.11745960886736,2.70370116691915,4.45434729625351,1.6094379124341,2,0.587786664902119
"50",7.29,"Apartment","Entire home/apt",4,179,"$358","a few days or more",0.4,10,9,7876,8.97170239970333,179,5.19295685089021,2.30258509299405,2.1150499691472,2.7,4.54329478227,1.6094379124341,2,0.336472236621213
"51",7.26,"Apartment","Entire home/apt",6,120,"$480","within a few hours",1,9,9,66240,11.1010548855635,120,4.79579054559674,2.30258509299405,2.11142458753289,2.6944387170615,4.52178857704904,1.94591014905531,2.44948974278318,0.693147180559945
"52",7.26,"Apartment","Entire home/apt",2,230,"$690","within a few hours",1,10,9,20700,9.93793728726535,230,5.44241771052179,2.30258509299405,2.11142458753289,2.6944387170615,4.59511985013459,1.09861228866811,1.4142135623731,0.693147180559945
"53",7.26,"Apartment","Entire home/apt",4,195,"$390","within an hour",1,10,9,19500,9.87822102528824,195,5.27811465923052,2.30258509299405,2.11142458753289,2.6944387170615,4.55387689160054,1.6094379124341,2,0.693147180559945
"54",7.19,"House","Private room",2,100,"$200","within a few hours",1,7,9,15200,9.62911649414402,100,4.61512051684126,2.30258509299405,2.10291389786498,2.68141753555838,4.48863636973214,1.09861228866811,1.4142135623731,0.693147180559945
"55",7.19,"House","Private room",2,55,"$110","within a few hours",1,8,9,26620,10.1894556569836,55,4.02535169073515,2.30258509299405,2.10291389786498,2.68141753555838,4.48863636973214,1.09861228866811,1.4142135623731,0.693147180559945
"56",7.17,"Apartment","Private room",2,60,"$120","within an hour",1,10,9,52320,10.8651530990983,60,4.11087386417331,2.30258509299405,2.10046890887191,2.67768556779918,4.54329478227,1.09861228866811,1.4142135623731,0.693147180559945
"57",7.17,"Apartment","Private room",2,60,"$120","within an hour",1,9,9,9360,9.14430740137174,60,4.11087386417331,2.30258509299405,2.10046890887191,2.67768556779918,4.49980967033027,1.09861228866811,1.4142135623731,0.693147180559945
"58",7.17,"House","Private room",2,75,"$180","within a few hours",1,10,9,1080,6.98564181763921,90,4.33073334028633,2.30258509299405,2.10046890887191,2.67768556779918,4.61512051684126,1.09861228866811,1.4142135623731,0.693147180559945
"59",7.17,"House","Private room",1,55,"$110","within a few hours",1,10,9,20900,9.94755228369823,55,4.02535169073515,2.30258509299405,2.10046890887191,2.67768556779918,4.55387689160054,0.693147180559945,1,0.693147180559945
"60",7.17,"Bed & Breakfast","Private room",1,45,"$90","within a few hours",1,9,9,15300,9.63567346472181,45,3.8286413964891,2.30258509299405,2.10046890887191,2.67768556779918,4.54329478227,0.693147180559945,1,0.693147180559945
"61",7.17,"Apartment","Entire home/apt",2,120,"$360","within an hour",1,9,9,53280,10.8833350738069,120,4.79579054559674,2.30258509299405,2.10046890887191,2.67768556779918,4.54329478227,1.09861228866811,1.4142135623731,0.693147180559945
"62",7.16,"Boat","Entire home/apt",4,180,"$180","within an hour",1,8,8,50040,10.820597948394,180,5.19849703126583,2.19722457733622,2.09924416897602,2.67581763205193,4.47733681447821,1.6094379124341,2,0.693147180559945
"63",7.16,"Boat","Entire home/apt",2,100,"$300","within an hour",1,9,8,18600,9.83097062169695,100,4.61512051684126,2.19722457733622,2.09924416897602,2.67581763205193,4.51085950651685,1.09861228866811,1.4142135623731,0.693147180559945
"64",7.16,"Boat","Entire home/apt",2,100,"$300","within an hour",1,9,9,27600,10.2256072829329,100,4.61512051684126,2.30258509299405,2.09924416897602,2.67581763205193,4.53259949315326,1.09861228866811,1.4142135623731,0.693147180559945
"65",7.16,"Apartment","Entire home/apt",2,100,"$200","within an hour",1,9,9,7200,8.88197518424887,100,4.61512051684126,2.30258509299405,2.09924416897602,2.67581763205193,4.60517018598809,1.09861228866811,1.4142135623731,0.693147180559945
"66",7.16,"Apartment","Entire home/apt",2,130,"$520","within a day",0.9,9,9,65520,11.0901259809257,130,4.87519732320115,2.30258509299405,2.09924416897602,2.67581763205193,4.57471097850338,1.09861228866811,1.4142135623731,0.641853886172395
"67",7.16,"Apartment","Entire home/apt",2,110,"$330","within a day",0.9,10,9,6600,8.79497643168877,110,4.70953020131233,2.30258509299405,2.09924416897602,2.67581763205193,4.54329478227,1.09861228866811,1.4142135623731,0.641853886172395
"68",7.14,"Apartment","Entire home/apt",2,120,"$360","within an hour",1,10,9,3600,8.18896686364888,120,4.79579054559674,2.30258509299405,2.09679018001445,2.67207784317748,4.56434819146784,1.09861228866811,1.4142135623731,0.693147180559945
"69",7.13,"Apartment","Private room",1,40,"$80","within a few hours",0.96,10,9,1760,7.47363710849621,40,3.71357206670431,2.30258509299405,2.09556092355972,2.67020598456374,4.57471097850338,0.693147180559945,1,0.672944473242426
"70",7.13,"Apartment","Entire home/apt",2,95,"$190","within a few hours",0.76,10,10,4940,8.50532301884575,95,4.56434819146784,2.39789527279837,2.09556092355972,2.67020598456374,4.61512051684126,1.09861228866811,1.4142135623731,0.56531380905006
"71",7.13,"Apartment","Entire home/apt",4,180,"$720","within a few hours",0.89,10,10,18720,9.83740116740827,180,5.19849703126583,2.39789527279837,2.09556092355972,2.67020598456374,4.58496747867057,1.6094379124341,2,0.636576829071551
"72",7.13,"Apartment","Entire home/apt",2,100,"$300","within a day",1,10,8,600,6.39859493453521,100,4.61512051684126,2.19722457733622,2.09556092355972,2.67020598456374,4.58496747867057,1.09861228866811,1.4142135623731,0.693147180559945
"73",7.1,"Apartment","Entire home/apt",4,200,"$400","within a few hours",0.61,8,8,7200,8.88197518424887,200,5.30330490805908,2.19722457733622,2.09186406167839,2.66458251889485,4.48863636973214,1.6094379124341,2,0.476234178996372
"74",7.07,"Apartment","Entire home/apt",4,129,"$516","within a few hours",0.9,10,10,7224,8.88530251298063,129,4.86753445045558,2.39789527279837,2.08815348228186,2.65894716006167,4.61512051684126,1.6094379124341,2,0.641853886172395
"75",7.02,"Apartment","Entire home/apt",4,150,"$300","within a day",1,10,10,5400,8.59433940059289,150,5.01727983681492,2.39789527279837,2.08193842187842,2.64952825989835,4.59511985013459,1.6094379124341,2,0.693147180559945
"76",7.01,"Apartment","Entire home/apt",3,95,"$285","within a day",0.9,10,10,101460,11.527429767173,95,4.56434819146784,2.39789527279837,2.08069076108027,2.64764045897475,4.60517018598809,1.38629436111989,1.73205080756888,0.641853886172395
"77",6.99,"Apartment","Entire home/apt",4,89,"$178","within an hour",0.97,9,9,66928,11.111387635,89,4.49980967033027,2.30258509299405,2.07819075977818,2.64386081328046,4.52178857704904,1.6094379124341,2,0.678033542749897
"78",6.99,"Apartment","Entire home/apt",2,125,"$250","within an hour",0.97,9,9,15000,9.61587214452889,125,4.83628190695148,2.30258509299405,2.07819075977818,2.64386081328046,4.54329478227,1.09861228866811,1.4142135623731,0.678033542749897
"79",6.99,"Apartment","Entire home/apt",4,130,"$260","within a few hours",0.9,10,9,5200,8.55660619377307,130,4.87519732320115,2.30258509299405,2.07819075977818,2.64386081328046,4.61512051684126,1.6094379124341,2,0.641853886172395
"80",6.98,"Apartment","Entire home/apt",4,67,"$134","within a few hours",1,8,9,8308,9.02509454366498,67,4.21950770517611,2.30258509299405,2.07693841146172,2.64196896272458,4.54329478227,1.6094379124341,2,0.693147180559945
"81",6.98,"House","Entire home/apt",4,275,"$825","within an hour",1,10,8,4950,8.50734485536142,275,5.62040086571715,2.19722457733622,2.07693841146172,2.64196896272458,4.51085950651685,1.6094379124341,2,0.693147180559945
"82",6.98,"Apartment","Entire home/apt",2,76,"$304","within a day",1,9,9,35264,10.4706462496423,76,4.34380542185368,2.30258509299405,2.07693841146172,2.64196896272458,4.53259949315326,1.09861228866811,1.4142135623731,0.693147180559945
"83",6.97,"Apartment","Entire home/apt",4,89,"$356","within a few hours",1,10,9,26344,10.1790337826434,89,4.49980967033027,2.30258509299405,2.07568449280212,2.64007575648882,4.55387689160054,1.6094379124341,2,0.693147180559945
"84",6.97,"Apartment","Entire home/apt",2,85,"$255","within a few hours",1,9,9,70890,11.1688987651115,85,4.45434729625351,2.30258509299405,2.07568449280212,2.64007575648882,4.53259949315326,1.09861228866811,1.4142135623731,0.693147180559945
"85",6.96,"Apartment","Entire home/apt",2,129,"$258","within a few hours",0.94,8,9,1548,7.34536484041687,129,4.86753445045558,2.30258509299405,2.07442899985629,2.63818119165458,4.54329478227,1.09861228866811,1.4142135623731,0.662687973075237
"86",6.96,"Apartment","Private room",4,85,"$85","within a day",1,8,9,50490,10.829550381559,85,4.45434729625351,2.30258509299405,2.07442899985629,2.63818119165458,4.49980967033027,1.6094379124341,2,0.693147180559945
"87",6.95,"Apartment","Entire home/apt",2,125,"$250","within a day",0.94,9,10,4000,8.29429960885724,125,4.83628190695148,2.39789527279837,2.07317192866624,2.63628526529281,4.61512051684126,1.09861228866811,1.4142135623731,0.662687973075237
"88",6.95,"Bed & Breakfast","Entire home/apt",2,139,"$278","within an hour",1,10,9,119540,11.691414687744,139,4.9416424226093,2.30258509299405,2.07317192866624,2.63628526529281,4.58496747867057,1.09861228866811,1.4142135623731,0.693147180559945
"89",6.95,"Bed & Breakfast","Entire home/apt",2,139,"$278","within an hour",1,10,9,66720,11.1082750249299,139,4.9416424226093,2.30258509299405,2.07317192866624,2.63628526529281,4.58496747867057,1.09861228866811,1.4142135623731,0.693147180559945
"90",6.95,"Apartment","Entire home/apt",2,195,"$780","within an hour",1,10,9,20280,9.91743976615413,195,5.27811465923052,2.30258509299405,2.07317192866624,2.63628526529281,4.55387689160054,1.09861228866811,1.4142135623731,0.693147180559945
"91",6.95,"House","Entire home/apt",4,170,"$340","within a few hours",0.95,10,10,680,6.52356230614951,170,5.14166355650266,2.39789527279837,2.07317192866624,2.63628526529281,4.61512051684126,1.6094379124341,2,0.667829372575655
"92",6.95,"Apartment","Entire home/apt",2,200,"$200","within a few hours",0.95,10,9,54400,10.904137815028,200,5.30330490805908,2.30258509299405,2.07317192866624,2.63628526529281,4.59511985013459,1.09861228866811,1.4142135623731,0.667829372575655
"93",6.95,"Apartment","Entire home/apt",2,120,"$360","within a few hours",0.95,10,9,12240,9.41254625207551,120,4.79579054559674,2.30258509299405,2.07317192866624,2.63628526529281,4.57471097850338,1.09861228866811,1.4142135623731,0.667829372575655
"94",6.95,"Apartment","Private room",2,74,"$74","within a few hours",0.92,8,9,4440,8.3986348552921,74,4.31748811353631,2.30258509299405,2.07317192866624,2.63628526529281,4.44265125649032,1.09861228866811,1.4142135623731,0.65232518603969
"95",6.94,"Apartment","Private room",2,75,"$90","within a few hours",1,9,9,360,5.88887795833288,90,4.33073334028633,2.30258509299405,2.07191327525904,2.6343879744639,4.51085950651685,1.09861228866811,1.4142135623731,0.693147180559945
"96",6.94,"Boat","Entire home/apt",2,129,"$387","within a few hours",1,10,10,58824,10.9823222135956,129,4.86753445045558,2.39789527279837,2.07191327525904,2.6343879744639,4.61512051684126,1.09861228866811,1.4142135623731,0.693147180559945
"97",6.93,"Apartment","Entire home/apt",2,185,"$185","within a day",0.76,9,8,1480,7.3004728142678,185,5.2257466737132,2.19722457733622,2.07065303564676,2.63248931621764,4.51085950651685,1.09861228866811,1.4142135623731,0.56531380905006
"98",6.93,"Bed & Breakfast","Private room",2,55,"$110","within an hour",0.97,10,8,5280,8.57187075270693,55,4.02535169073515,2.19722457733622,2.07065303564676,2.63248931621764,4.44265125649032,1.09861228866811,1.4142135623731,0.678033542749897
"99",6.93,"Apartment","Private room",3,85,"$255","within a few hours",0.9,8,9,52530,10.8691587505077,85,4.45434729625351,2.30258509299405,2.07065303564676,2.63248931621764,4.51085950651685,1.38629436111989,1.73205080756888,0.641853886172395
"100",6.93,"Apartment","Entire home/apt",3,145,"$145","within a few hours",0.9,9,9,580,6.36475075685191,145,4.98360662170834,2.30258509299405,2.07065303564676,2.63248931621764,4.51085950651685,1.38629436111989,1.73205080756888,0.641853886172395
"101",6.92,"Apartment","Entire home/apt",2,135,"$405","within a day",1,10,9,46170,10.7401071743525,135,4.91265488573605,2.30258509299405,2.06939120582633,2.63058928759318,4.59511985013459,1.09861228866811,1.4142135623731,0.693147180559945
"102",6.92,"Apartment","Entire home/apt",2,140,"$420","within a few hours",0.86,9,9,52080,10.860555477927,140,4.94875989037817,2.30258509299405,2.06939120582633,2.63058928759318,4.53259949315326,1.09861228866811,1.4142135623731,0.62057648772511
"103",6.91,"Apartment","Entire home/apt",2,90,"$90","within a day",1,9,9,720,6.58063913728495,90,4.51085950651685,2.30258509299405,2.06812778177956,2.62868788561898,4.45434729625351,1.09861228866811,1.4142135623731,0.693147180559945
"104",6.91,"Apartment","Entire home/apt",4,105,"$420","within a day",1,9,9,61320,11.0238776407458,105,4.66343909411207,2.30258509299405,2.06812778177956,2.62868788561898,4.56434819146784,1.6094379124341,2,0.693147180559945
"105",6.91,"Bed & Breakfast","Private room",2,67,"$201","within an hour",0.98,9,9,57486,10.9593141142674,67,4.21950770517611,2.30258509299405,2.06812778177956,2.62868788561898,4.48863636973214,1.09861228866811,1.4142135623731,0.683096844706444
"106",6.91,"Apartment","Private room",2,57,"$171","within an hour",0.98,9,8,10944,9.30063800995696,57,4.06044301054642,2.19722457733622,2.06812778177956,2.62868788561898,4.45434729625351,1.09861228866811,1.4142135623731,0.683096844706444
"107",6.91,"Bed & Breakfast","Private room",2,57,"$171","within an hour",0.98,9,9,38646,10.5622244313394,57,4.06044301054642,2.30258509299405,2.06812778177956,2.62868788561898,4.48863636973214,1.09861228866811,1.4142135623731,0.683096844706444
"108",6.85,"Apartment","Entire home/apt",6,175,"$350","within an hour",1,9,9,12600,9.44153145486969,175,5.17048399503815,2.30258509299405,2.06051353179432,2.61725046566048,4.60517018598809,1.94591014905531,2.44948974278318,0.693147180559945
"109",6.89,"Apartment","Entire home/apt",4,160,"$480","within a day",0.64,10,10,960,6.86797440897029,160,5.08140436498446,2.39789527279837,2.06559613485778,2.62488094968134,4.61512051684126,1.6094379124341,2,0.494696241836107
"110",6.89,"Apartment","Entire home/apt",3,100,"$500","within an hour",1,9,9,108000,11.5898957653227,100,4.61512051684126,2.30258509299405,2.06559613485778,2.62488094968134,4.57471097850338,1.38629436111989,1.73205080756888,0.693147180559945
"111",6.88,"Apartment","Entire home/apt",8,280,"$840","within an hour",1,9,9,58800,10.9819141405448,280,5.63835466933375,2.30258509299405,2.06432790386979,2.6229754097208,4.49980967033027,2.19722457733622,2.82842712474619,0.693147180559945
"112",6.88,"Apartment","Entire home/apt",5,135,"$405","within an hour",1,9,9,28350,10.2524175819024,135,4.91265488573605,2.30258509299405,2.06432790386979,2.6229754097208,4.49980967033027,1.79175946922805,2.23606797749979,0.693147180559945
"113",6.88,"Apartment","Entire home/apt",5,135,"$405","within an hour",1,8,8,29160,10.2805874790874,135,4.91265488573605,2.19722457733622,2.06432790386979,2.6229754097208,4.49980967033027,1.79175946922805,2.23606797749979,0.693147180559945
"114",6.87,"Apartment","Entire home/apt",6,260,"$1,040","within a day",0.83,9,9,49920,10.818197034894,260,5.56452040732269,2.30258509299405,2.06305806242931,2.62106848441623,4.58496747867057,1.94591014905531,2.44948974278318,0.60431596685333
"115",6.87,"Apartment","Entire home/apt",2,107,"$214","within an hour",1,9,9,44940,10.7131057973832,107,4.68213122712422,2.30258509299405,2.06305806242931,2.62106848441623,4.55387689160054,1.09861228866811,1.4142135623731,0.693147180559945
"116",6.85,"Apartment","Entire home/apt",8,300,"$300","within an hour",1,10,9,91800,11.4273784697954,300,5.70711026474888,2.30258509299405,2.06051353179432,2.61725046566048,4.58496747867057,2.19722457733622,2.82842712474619,0.693147180559945
"117",6.85,"Apartment","Entire home/apt",4,140,"$700","within a day",1,10,10,29400,10.2887839663538,140,4.94875989037817,2.39789527279837,2.06051353179432,2.61725046566048,4.58496747867057,1.6094379124341,2,0.693147180559945
"118",6.85,"Boat","Entire home/apt",3,199,"$398","within a few hours",1,10,10,55720,10.9281123746099,199,5.29831736654804,2.39789527279837,2.06051353179432,2.61725046566048,4.60517018598809,1.38629436111989,1.73205080756888,0.693147180559945
"119",6.85,"Apartment","Entire home/apt",4,145,"$290","within an hour",0.96,9,10,26100,10.1697289067531,145,4.98360662170834,2.39789527279837,2.06051353179432,2.61725046566048,4.58496747867057,1.6094379124341,2,0.672944473242426
