host_id,host_name,host_since_year,host_since_anniversary,Customer Since,Age in years,id,neighbourhood_cleansed,city,city_translated,state,state_translated,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type, price ,guests_included,extra_people,minimum_nights,customers @ 50% review rate," Daily Rev per 2 guests, unless limited to 1 ", Min Nights , Total Rev ,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
15618,Shelly,2009,5/2,5/2/09,8.20,51969,De Pijp - Rivierenbuurt,De Pijp,De Pijp,North Holland,North Holland,1072,Netherlands,52.35748276,4.887099593,Apartment,Entire home/apt,3,1.5,2,2,Real Bed, $100 ,2,30,7,6, $100 , $700 ," $4,200 ",within a few hours,1,3,95,10,9,10,10,10,10
21669,Mark,2009,6/15,6/15/09,8.08,8061,De Baarsjes - Oud-West,Amsterdam,Amsterdam,Noord-Holland,North Holland,1056 TM,Netherlands,52.371207,4.857291017,Apartment,Entire home/apt,3,1,2,2,Real Bed, $95 ,1,0,3,4, $95 , $285 ," $1,140 ",within a day,0.75,2,100,10,10,10,10,10,10
26919,Hugo,2009,7/22,7/22/09,7.98,98558,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1011 JX,Netherlands,52.36959599,4.899069358,Apartment,Entire home/apt,2,1,1,1,Real Bed, $145 ,1,0,3,38, $145 , $435 ," $16,530 ",within an hour,1,19,99,10,10,10,10,10,9
32366,Sabine & Sander,2009,8/18,8/18/09,7.91,9693,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1013,Netherlands,52.37801663,4.892703442,Apartment,Entire home/apt,3,1.5,1,1,Real Bed, $132 ,2,30,4,68, $132 , $528 ," $35,904 ",within a day,0.9,34,99,10,10,10,10,10,9
36701,Leonie,2009,9/7,9/7/09,7.85,2323819,Bos en Lommer,Amsterdam,Amsterdam,North Holland,North Holland,1055XP,Netherlands,52.38141023,4.852742701,Apartment,Entire home/apt,2,1,1,1,Real Bed, $79 ,1,0,1,26, $79 , $79 ," $2,054 ",within a few hours,1,13,100,10,10,10,10,9,10
42212,Miguel,2009,9/29,9/29/09,7.79,280105,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1013,Netherlands,52.38029988,4.885143665,Apartment,Entire home/apt,4,1,0,2,Real Bed, $180 ,1,65,2,36, $245 , $490 ," $17,640 ",within an hour,0.96,18,99,10,10,10,10,10,9
42212,Miguel,2009,9/29,9/29/09,7.79,3527892,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1013HE,Netherlands,52.38147315,4.886809875,Loft,Shared room,1,1,1,1,Real Bed, $75 ,1,0,1,4, $75 , $75 , $300 ,within an hour,0.96,2,100,10,10,10,10,10,10
42725,Marco,2009,10/1,10/1/09,7.79,933385,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1053,Netherlands,52.36761407,4.866895471,Apartment,Private room,2,1,1,2,Real Bed, $82 ,2,0,2,38, $82 , $164 ," $6,232 ",within a few hours,1,19,98,10,10,10,10,10,10
46431,Jennifer & Michiel,2009,10/17,10/17/09,7.74,1182306,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1059,Netherlands,52.34658737,4.84919711,Apartment,Private room,2,1,1,1,Real Bed, $59 ,1,0,1,116, $59 , $59 ," $6,844 ",within a few hours,1,58,95,9,10,9,9,9,9
47517,Geert,2009,10/21,10/21/09,7.73,3047061,Watergraafsmeer,Amsterdam,Amsterdam,North Holland,North Holland,1097 AM,Netherlands,52.3534049,4.92442006,Apartment,Entire home/apt,2,1,1,1,Real Bed, $99 ,1,0,7,0, $99 , $693 , $-   ,N/A,N/A,0,,,,,,,
50517,Sanne,2009,11/1,11/1/09,7.70,4003922,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1018,Netherlands,52.36928364,4.909938668,Apartment,Entire home/apt,4,1,1,2,Real Bed, $190 ,1,0,1,0, $190 , $190 , $-   ,a few days or more,0.4,0,,,,,,,
56142,Joan,2009,11/20,11/20/09,7.65,1003865,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1053 LB,Netherlands,52.36675578,4.871953549,Apartment,Entire home/apt,4,1,1,2,Real Bed, $110 ,2,10,5,0, $110 , $550 , $-   ,within a few hours,1,0,,,,,,,
56142,Joan,2009,11/20,11/20/09,7.65,25428,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1016,Netherlands,52.3731684,4.883239196,Apartment,Entire home/apt,3,1,1,1,Real Bed, $100 ,1,0,14,0, $100 ," $1,400 ", $-   ,within a few hours,1,0,,,,,,,
59059,Marius,2009,12/1,12/1/09,7.62,75583,Slotervaart,Amsterdam,Amsterdam,North Holland,North Holland,1058,Netherlands,52.36522071,4.838338484,Apartment,Private room,4,1.5,1,2,Real Bed, $35 ,1,30,2,214, $65 , $130 ," $27,820 ",within an hour,1,107,99,10,10,10,10,9,10
59297,Jan,2009,12/2,12/2/09,7.62,15061,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1052,Netherlands,52.38268456,4.876129664,Apartment,Private room,4,,1,2,Real Bed, $43 ,1,43,2,116, $86 , $172 ," $19,952 ",within a day,1,58,95,9,9,10,10,9,10
59484,Alex,2009,12/2,12/2/09,7.62,20168,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36508703,4.893541008,House,Private room,2,1,1,1,Real Bed, $50 ,2,0,1,50, $50 , $50 ," $2,500 ",within an hour,1,25,83,9,9,9,8,10,9
59484,Alex,2009,12/2,12/2/09,7.62,3903880,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36343343,4.892453063,House,Private room,2,4,1,1,Real Bed, $50 ,1,0,1,28, $50 , $50 ," $1,400 ",within an hour,1,14,86,9,9,9,9,10,9
62341,Jurgen,2009,12/11,12/11/09,7.59,1030014,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1015 GN,Netherlands,52.38189925,4.882599016,Apartment,Entire home/apt,2,1,1,1,Real Bed, $69 ,1,0,3,26, $69 , $207 ," $5,382 ",within an hour,1,13,90,9,8,10,10,10,9
65041,Ym,2009,12/22,12/22/09,7.56,43980,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1054,Netherlands,52.35745628,4.861242085,Apartment,Entire home/apt,4,1,1,2,Real Bed, $80 ,4,10,2,92, $80 , $160 ," $14,720 ",within a few hours,0.99,46,77,7,7,9,9,9,8
65041,Ym,2009,12/22,12/22/09,7.56,85767,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1013 NS,Netherlands,52.3881284,4.888545572,Apartment,Entire home/apt,4,1.5,1,4,Real Bed, $80 ,4,10,2,98, $80 , $160 ," $15,680 ",within a few hours,0.99,49,73,7,7,8,9,9,7
69651,William,2010,1/11,1/11/10,7.51,5728108,Oostelijk Havengebied - Indische Buurt,Amsterdam,Amsterdam,Noord-Holland,North Holland,1019,Netherlands,52.37300252,4.951019576,House,Private room,2,1,1,1,Real Bed, $110 ,1,0,2,0, $110 , $220 , $-   ,within an hour,1,0,,,,,,,
69651,William,2010,1/11,1/11/10,7.51,129744,Oostelijk Havengebied - Indische Buurt,WZ,WZ,Amsterdam,North Holland,1019 WZ,Netherlands,52.37320882,4.952018098,House,Entire home/apt,2,2,1,1,Real Bed, $350 ,1,0,2,0, $350 , $700 , $-   ,within an hour,1,0,,,,,,,
70937,Tui,2010,1/16,1/16/10,7.49,3739250,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1018 HL,Netherlands,52.36781183,4.923052202,Apartment,Entire home/apt,4,1,1,2,Real Bed, $110 ,2,10,3,10, $110 , $330 ," $3,300 ",within an hour,1,5,88,9,10,10,9,8,8
74250,Margreet & Arnout,2010,1/27,1/27/10,7.46,3261215,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1052,Netherlands,52.37501222,4.879694208,Apartment,Private room,2,1,1,1,Real Bed, $74 ,1,0,4,44, $74 , $296 ," $13,024 ",within a few hours,0.8,22,97,10,10,10,10,10,10
77484,Annelies,2010,2/4,2/4/10,7.44,2820641,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1012 ML,Netherlands,52.37785675,4.896534945,Apartment,Entire home/apt,8,1,2,5,Real Bed, $250 ,4,30,3,68, $250 , $750 ," $51,000 ",within a few hours,1,34,96,10,10,10,10,10,9
77484,Annelies,2010,2/4,2/4/10,7.44,3302169,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1016 LK,Netherlands,52.37303502,4.876419434,Apartment,Entire home/apt,6,1.5,4,6,Real Bed, $200 ,4,30,3,4, $200 , $600 ," $2,400 ",within a few hours,1,2,90,6,8,7,9,9,9
77484,Annelies,2010,2/4,2/4/10,7.44,1756765,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1053 MX,Netherlands,52.36318648,4.867269951,Boat,Entire home/apt,6,1,2,3,Real Bed, $180 ,4,40,3,70, $180 , $540 ," $37,800 ",within a few hours,1,35,94,9,9,10,10,9,9
77484,Annelies,2010,2/4,2/4/10,7.44,743666,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1053,Netherlands,52.36986326,4.872518729,Boat,Entire home/apt,6,1,2,4,Real Bed, $200 ,4,40,3,144, $200 , $600 ," $86,400 ",within a few hours,1,72,95,10,9,10,10,10,9
77484,Annelies,2010,2/4,2/4/10,7.44,468132,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1074 EN,Netherlands,52.35305467,4.90188698,Apartment,Entire home/apt,6,2,2,3,Real Bed, $160 ,4,30,3,104, $160 , $480 ," $49,920 ",within a few hours,1,52,89,9,9,10,10,9,9
77484,Annelies,2010,2/4,2/4/10,7.44,822614,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1073 GG,Netherlands,52.35281266,4.896553574,Apartment,Entire home/apt,6,2,2,3,Real Bed, $200 ,4,30,3,64, $200 , $600 ," $38,400 ",within a few hours,1,32,91,9,9,9,10,10,9
77484,Annelies,2010,2/4,2/4/10,7.44,2396344,Oud-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1091 DM,Netherlands,52.36100828,4.916213631,Apartment,Entire home/apt,6,1.5,2,5,Real Bed, $160 ,4,30,3,50, $160 , $480 ," $24,000 ",within a few hours,1,25,89,9,9,10,10,8,8
77484,Annelies,2010,2/4,2/4/10,7.44,5275545,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1053 NP,Netherlands,52.36129424,4.858443675,Boat,Entire home/apt,4,1,2,3,Real Bed, $120 ,2,30,3,4, $120 , $360 ," $1,440 ",within a few hours,1,2,90,10,9,9,10,10,10
77484,Annelies,2010,2/4,2/4/10,7.44,857794,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017 RD,Netherlands,52.36376239,4.884498735,Apartment,Entire home/apt,4,1.5,2,2,Real Bed, $120 ,2,30,3,90, $120 , $360 ," $32,400 ",within a few hours,1,45,92,9,9,10,10,9,9
77484,Annelies,2010,2/4,2/4/10,7.44,5234498,De Baarsjes - Oud-West,Amsterdam,Amsterdam,Noord-Holland,North Holland,1052 SJ,Netherlands,52.3722377,4.871811203,Boat,Entire home/apt,4,1,1,2,Real Bed, $120 ,2,30,3,0, $120 , $360 , $-   ,within a few hours,1,0,,,,,,,
77484,Annelies,2010,2/4,2/4/10,7.44,236632,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1072 CC,Netherlands,52.35613973,4.888475752,Apartment,Entire home/apt,4,1,1,2,Real Bed, $100 ,2,20,4,78, $100 , $400 ," $31,200 ",within a few hours,1,39,96,10,10,10,10,10,9
77484,Annelies,2010,2/4,2/4/10,7.44,999908,Oud-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1092,Netherlands,52.35674793,4.924005845,Apartment,Entire home/apt,4,1,1,2,Real Bed, $75 ,2,30,5,38, $75 , $375 ," $14,250 ",within a few hours,1,19,87,9,9,9,10,9,9
77484,Annelies,2010,2/4,2/4/10,7.44,2821480,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1012,Netherlands,52.3770844,4.895307225,Apartment,Entire home/apt,4,1,1,4,Real Bed, $140 ,2,30,3,38, $140 , $420 ," $15,960 ",within a few hours,1,19,96,10,9,10,10,9,9
77484,Annelies,2010,2/4,2/4/10,7.44,3414536,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1052 EJ,Netherlands,52.37359727,4.873286997,Boat,Entire home/apt,4,1,1,1,Real Bed, $160 ,2,30,3,26, $160 , $480 ," $12,480 ",within a few hours,1,13,94,10,10,10,10,9,9
77484,Annelies,2010,2/4,2/4/10,7.44,2821284,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1012,Netherlands,52.37727689,4.8950297,Apartment,Entire home/apt,4,1,1,2,Real Bed, $120 ,2,30,3,48, $120 , $360 ," $17,280 ",within a few hours,1,24,95,10,9,10,10,10,9
78857,Am,2010,2/8,2/8/10,7.43,20818,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36318355,4.89964497,Apartment,Entire home/apt,3,1,1,2,Real Bed, $80 ,2,22,2,4, $80 , $160 , $640 ,N/A,N/A,2,100,10,10,10,10,10,10
82145,Wim,2010,2/17,2/17/10,7.40,4069573,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1079 LM,Netherlands,52.34530413,4.911874372,Boat,Entire home/apt,10,2,5,6,Real Bed, $206 ,4,50,3,2, $206 , $618 ," $1,236 ",within a few hours,1,1,40,6,4,2,8,8,6
82145,Wim,2010,2/17,2/17/10,7.40,948808,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1074 JH,Netherlands,52.35280372,4.908385671,Boat,Entire home/apt,6,1,2,3,Real Bed, $140 ,2,35,3,20, $140 , $420 ," $8,400 ",within a few hours,1,10,83,8,8,8,9,8,8
82145,Wim,2010,2/17,2/17/10,7.40,4374110,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1051AL,Netherlands,52.38200517,4.8756299,Boat,Entire home/apt,6,1,2,2,Real Bed, $200 ,4,35,3,4, $200 , $600 ," $2,400 ",within a few hours,1,2,90,9,10,10,9,8,8
82145,Wim,2010,2/17,2/17/10,7.40,2436846,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1016 HG,Netherlands,52.37121579,4.883911014,Boat,Entire home/apt,6,2,2,3,Real Bed, $227 ,4,35,3,36, $227 , $681 ," $24,516 ",within a few hours,1,18,87,9,7,10,10,10,8
82145,Wim,2010,2/17,2/17/10,7.40,539036,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1018,Netherlands,52.36265828,4.909767079,Boat,Entire home/apt,4,1,2,2,Real Bed, $140 ,2,35,3,74, $140 , $420 ," $31,080 ",within a few hours,1,37,88,9,9,9,9,9,9
82145,Wim,2010,2/17,2/17/10,7.40,85941,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1015 DT,Netherlands,52.37609642,4.884574734,Boat,Entire home/apt,4,1,1,2,Real Bed, $200 ,2,40,3,50, $200 , $600 ," $30,000 ",within a few hours,1,25,95,9,9,9,9,10,9
97647,Flip,2010,3/23,3/23/10,7.31,27886,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1013,Netherlands,52.38672732,4.89207807,Boat,Entire home/apt,2,1,1,1,Real Bed, $135 ,2,0,2,22, $135 , $270 ," $5,940 ",within a few hours,1,11,100,10,10,10,10,9,10
98829,Jelmer & Sarah,2010,3/25,3/25/10,7.31,3985308,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1053,Netherlands,52.36695076,4.867029312,Apartment,Entire home/apt,2,1,1,1,Real Bed, $90 ,1,0,4,18, $90 , $360 ," $6,480 ",within an hour,1,9,100,10,10,10,10,10,10
98844,Manolis,2010,3/25,3/25/10,7.31,178841,Westerpark,Amsterdam,Amsterdam,North Holland,North Holland,1052,Netherlands,52.38262451,4.878955874,Apartment,Entire home/apt,4,1.5,1,1,Real Bed, $95 ,2,30,3,58, $95 , $285 ," $16,530 ",within a few hours,0.8,29,85,9,8,9,9,9,9
101455,Nazan & Patrick,2010,3/31,3/31/10,7.29,4641463,Centrum-West,Amsterdam,Amsterdam,Noord-Holland,North Holland,1016 BL,Netherlands,52.37148578,4.888167944,Apartment,Entire home/apt,4,1,2,4,Real Bed, $179 ,2,25,2,22, $179 , $358 ," $7,876 ",a few days or more,0.4,11,93,9,10,10,10,10,9
106225,Jeff,2010,4/10,4/10/10,7.26,25488,Oostelijk Havengebied - Indische Buurt,Amsterdam,Amsterdam,North Holland,North Holland,1095,Netherlands,52.36500978,4.943572387,Apartment,Entire home/apt,6,1,3,3,Real Bed, $120 ,4,25,4,138, $120 , $480 ," $66,240 ",within a few hours,1,69,91,9,9,9,9,8,9
106225,Jeff,2010,4/10,4/10/10,7.26,253792,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1012,Netherlands,52.37408073,4.897792586,Apartment,Entire home/apt,2,1,1,1,Real Bed, $230 ,2,20,3,30, $230 , $690 ," $20,700 ",within a few hours,1,15,98,10,10,10,10,10,9
106241,Tanja,2010,4/10,4/10/10,7.26,25489,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1011,Netherlands,52.37531439,4.903689027,Apartment,Entire home/apt,4,1,2,2,Real Bed, $195 ,2,35,2,50, $195 , $390 ," $19,500 ",within an hour,1,25,94,9,10,10,10,10,9
119217,Allan,2010,5/6,5/6/10,7.19,343195,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36436233,4.897554031,House,Private room,2,1,1,1,Real Bed, $100 ,2,0,2,76, $100 , $200 ," $15,200 ",within a few hours,1,38,88,9,7,9,10,10,9
119217,Allan,2010,5/6,5/6/10,7.19,78033,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36498595,4.898400166,House,Private room,2,1,1,1,Futon, $55 ,2,0,2,242, $55 , $110 ," $26,620 ",within a few hours,1,121,88,9,8,10,9,10,9
123414,Michele,2010,5/12,5/12/10,7.17,28658,De Baarsjes - Oud-West,Amsterdam,Amsterdam,Noord-Holland,North Holland,1056,Netherlands,52.37441423,4.857962927,Apartment,Private room,2,1,1,3,Real Bed, $60 ,2,30,2,436, $60 , $120 ," $52,320 ",within an hour,1,218,93,9,10,10,9,9,9
123414,Michele,2010,5/12,5/12/10,7.17,2405985,Bos en Lommer,Amsterdam,Amsterdam,North Holland,North Holland,1056 GC,Netherlands,52.37529835,4.857196176,Apartment,Private room,2,1,1,1,Real Bed, $60 ,1,0,2,78, $60 , $120 ," $9,360 ",within an hour,1,39,89,10,9,10,10,9,9
124245,Edwin,2010,5/13,5/13/10,7.17,28871,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36610077,4.889528484,House,Private room,2,,1,1,Real Bed, $75 ,1,15,2,6, $90 , $180 ," $1,080 ",within a few hours,1,3,100,10,10,10,10,10,9
124245,Edwin,2010,5/13,5/13/10,7.17,29051,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36607213,4.89099938,House,Private room,1,,1,1,Real Bed, $55 ,1,10,2,190, $55 , $110 ," $20,900 ",within a few hours,1,95,94,9,10,10,10,10,9
124245,Edwin,2010,5/13,5/13/10,7.17,83498,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1017,Netherlands,52.36722763,4.891235318,Bed & Breakfast,Private room,1,1,1,1,Real Bed, $45 ,1,0,2,170, $45 , $90 ," $15,300 ",within a few hours,1,85,93,10,9,10,10,10,9
124912,Samy,2010,5/14,5/14/10,7.17,270777,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1016,Netherlands,52.3678093,4.877908369,Apartment,Entire home/apt,2,1.5,1,1,Real Bed, $120 ,1,0,3,148, $120 , $360 ," $53,280 ",within an hour,1,74,93,9,9,9,9,10,9
125667,MichÌ¬le,2010,5/16,5/16/10,7.16,29217,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1072 AW,Netherlands,52.34975311,4.884765072,Boat,Entire home/apt,4,2,2,2,Real Bed, $180 ,2,0,1,278, $180 , $180 ," $50,040 ",within an hour,1,139,87,8,8,9,9,9,8
125667,MichÌ¬le,2010,5/16,5/16/10,7.16,4052965,De Pijp - Rivierenbuurt,Amsterdam,Amsterdam,North Holland,North Holland,1072 AW,Netherlands,52.34982879,4.887147116,Boat,Entire home/apt,2,1,0,1,Real Bed, $100 ,1,0,3,62, $100 , $300 ," $18,600 ",within an hour,1,31,90,9,9,9,9,9,8
125667,MichÌ¬le,2010,5/16,5/16/10,7.16,1018703,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1072 AW,Netherlands,52.3504502,4.8861133,Boat,Entire home/apt,2,1,0,1,Real Bed, $100 ,2,45,3,92, $100 , $300 ," $27,600 ",within an hour,1,46,92,9,9,9,9,9,9
126790,Christopher,2010,5/17,5/17/10,7.16,1088859,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1054,Netherlands,52.36793778,4.876497045,Apartment,Entire home/apt,2,1,1,1,Real Bed, $100 ,1,0,2,36, $100 , $200 ," $7,200 ",within an hour,1,18,99,10,9,10,10,10,9
127233,Ingeborg,2010,5/18,5/18/10,7.16,29554,Centrum-West,Amsterdam,Amsterdam,NH,North Holland,1013,Netherlands,52.38050992,4.894188598,Apartment,Entire home/apt,2,1,1,1,Real Bed, $130 ,1,0,4,126, $130 , $520 ," $65,520 ",within a day,0.9,63,96,10,9,10,10,10,9
127233,Ingeborg,2010,5/18,5/18/10,7.16,4120357,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1013,Netherlands,52.3805797,4.892336621,Apartment,Entire home/apt,2,1,1,2,Real Bed, $110 ,2,40,3,20, $110 , $330 ," $6,600 ",within a day,0.9,10,93,10,10,9,10,10,9
127938,Mirte,2010,5/19,5/19/10,7.16,5734245,Watergraafsmeer,Amsterdam,Amsterdam,NH,North Holland,1091TL,Netherlands,52.34808093,4.913960886,Apartment,Entire home/apt,2,1,1,1,Real Bed, $70 ,1,0,1,0, $70 , $70 , $-   ,within a few hours,0.69,0,,,,,,,
131462,Riccardo,2010,5/25,5/25/10,7.14,30431,Centrum-Oost,Amsterdam,Amsterdam,North Holland,North Holland,1018,Netherlands,52.36325836,4.908473002,Apartment,Entire home/apt,2,1.5,1,1,Real Bed, $120 ,1,0,3,10, $120 , $360 ," $3,600 ",within an hour,1,5,95,10,10,10,10,10,9
133328,Francesca,2010,5/27,5/27/10,7.13,4549116,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1056 DC,Netherlands,52.3706463,4.848612899,Apartment,Private room,1,1,1,1,Real Bed, $40 ,1,0,2,22, $40 , $80 ," $1,760 ",within a few hours,0.96,11,96,10,10,10,10,9,9
133347,Ashly,2010,5/27,5/27/10,7.13,3186920,De Baarsjes - Oud-West,Amsterdam,Amsterdam,North Holland,North Holland,1054,Netherlands,52.36750276,4.875253281,Apartment,Entire home/apt,2,1,1,1,Real Bed, $95 ,2,15,2,26, $95 , $190 ," $4,940 ",within a few hours,0.76,13,100,10,10,10,10,10,10
133488,Nienke,2010,5/27,5/27/10,7.13,31080,Zuid,Amsterdam,Amsterdam,North Holland,North Holland,1059,Netherlands,52.35132054,4.848382899,Apartment,Entire home/apt,4,1,3,3,Real Bed, $180 ,4,30,4,26, $180 , $720 ," $18,720 ",within a few hours,0.89,13,97,10,10,10,10,9,10
133785,Martijn,2010,5/28,5/28/10,7.13,1819449,Centrum-West,Amsterdam,Amsterdam,North Holland,North Holland,1016 SP,Netherlands,52.36998657,4.879435888,Apartment,Entire home/apt,2,1,1,1,Real Bed, $100 ,0,0,3,2, $100 , $300 , $600 ,within a day,1,1,97,10,10,10,10,10,8
